rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,2526473.6842105263,1.0226708502070801e-94,[27 5 4 284.71387461880926]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2684315.789473684,236.9510260937219,[5 27 6 1432.1264674285317]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,2684315.789473684,1.1047063706465838e-54,[1 1 29 71.98238447342422]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,2684315.789473684,38.74296482262135,[29 8 36 899.6505919534173]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,2684315.789473684,5.3851611993501424e-102,[25 5 4 315.85061788443045]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,2842157.8947368423,205.14117639335302,[5 27 6 1525.1192780148285]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,2842157.8947368423,3.015297902010885e-58,[1 1 29 76.38408562624298]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,2842157.8947368423,30.020905991134352,[29 8 36 942.0644903870685]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,2842157.8947368423,1.4039036057407086e-83,[28 1 2 63.39733611665238]
<class 'key_rate_optimization.tgs_a_routine'>,12566370614.359173,0.013,3000000.0,178.0866814190908,[5 28 6 1579.7859630571347]
<class 'key_rate_optimization.tgs_f_routine'>,12566370614.359173,0.013,3000000.0,0.039778779723008965,[3 25 6 1999.999937264951]
<class 'key_rate_optimization.rgs_a_routine'>,12566370614.359173,0.013,3000000.0,22.249389718613955,[29 8 36 980.2062046206139]
<class 'key_rate_optimization.rgs_f_routine'>,12566370614.359173,0.013,3000000.0,3.9918837994006936e-88,[29 1 2 66.28037987977918]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000.0,30366.060501971417,[1 2 27 56.42111749819025]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1000.0,872219336606980.6,[1 1 5 5.6568155792491315e-06]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,1000.0,1622.6805956748144,[7 7 7 1.0335570132986216]
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,1000.0,258934213826.62152,[3 1 1 5.656815579523692e-06]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,158842.1052631579,9.518932842866224,[1 2 29 59.08926127360739]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,158842.1052631579,2957052.6933834744,[3 10 4 64.25418179946061]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,158842.1052631579,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,158842.1052631579,116068.87424220279,[16 6 23 35.455070464192566]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,316684.2105263158,0.7726624606045792,[1 1 27 7.814960607063609]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,316684.2105263158,912992.5182886445,[4 17 5 121.7531375527227]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,316684.2105263158,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,316684.2105263158,68649.56353753638,[17 6 25 79.80109647609251]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,474526.3157894737,7.897673373335453e-11,[1 5 27 188.32654514867502]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,474526.3157894737,483088.84876086126,[4 16 5 209.6867456667321]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,474526.3157894737,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,474526.3157894737,50715.01373214162,[23 7 28 115.69760592668061]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,632368.4210526316,2.5985210782755698e-08,[1 1 27 17.663408528177065]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,632368.4210526316,296447.88775243924,[4 17 5 282.1861013685012]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,632368.4210526316,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,632368.4210526316,38961.415336284335,[24 7 29 155.7810832759886]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,790210.5263157894,2.301839498529857e-12,[1 1 28 32.02795962477746]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,790210.5263157894,201335.1471364018,[4 24 6 325.43873761497144]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,790210.5263157894,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,790210.5263157894,30071.784036982477,[25 7 30 194.6743987619961]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,948052.6315789474,1.4997833211912663e-17,[1 3 29 76.41540636680803]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,948052.6315789474,145830.18567287608,[4 23 6 415.26314749682166]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,948052.6315789474,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,948052.6315789474,23717.501089505484,[29 8 31 244.93144802318773]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1105894.7368421052,8.984517384865134e-25,[1 2 26 16.179162774696874]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1105894.7368421052,108502.21982121917,[4 25 6 466.18794489360886]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,1105894.7368421052,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,1105894.7368421052,16996.4260811035,[26 7 31 274.49541138591684]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1263736.8421052631,2.731784953838693e-24,[1 1 26 76.92425270679]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1263736.8421052631,83291.0613928066,[5 26 6 521.3809234376605]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,1263736.8421052631,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,1263736.8421052631,14767.284625994527,[29 8 32 331.89585683489344]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1421578.9473684211,4.473143019819963e-28,[1 1 29 88.24165489730937]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1421578.9473684211,66709.03130988953,[5 28 6 563.0173452161861]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,1421578.9473684211,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,1421578.9473684211,11170.801034470325,[29 8 32 373.43232656818293]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1579421.0526315789,2.26698182044254e-30,[1 2 26 47.5902495373702]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1579421.0526315789,53706.511021686354,[5 28 6 633.3397274950503]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,1579421.0526315789,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,1579421.0526315789,8037.6370089969705,[29 8 32 412.9575838557672]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1737263.1578947369,1.0055830094685462e-34,[1 2 26 78.72766699929312]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1737263.1578947369,43481.805686767024,[5 28 6 704.1275947462929]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,1737263.1578947369,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,1737263.1578947369,2.286516355132461e-59,[29 2 2 78.01276995618903]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1895105.2631578948,1.6409341307516145e-41,[1 5 27 183.1383083400377]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,1895105.2631578948,35440.51997837644,[5 29 6 756.6882837873181]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,1895105.2631578948,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,1895105.2631578948,3009.437441377708,[29 8 32 481.61028517095]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2052947.3684210526,4.2798643629949767e-60,[1 2 29 15.713659159143507]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,2052947.3684210526,28837.040304538503,[5 29 6 826.2920303647948]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,2052947.3684210526,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,2052947.3684210526,9.611185100120755e-62,[27 1 2 65.87343756194088]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2210789.4736842103,9.280347050504693e-45,[1 3 29 61.26314046504403]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,2210789.4736842103,23396.63308255801,[5 29 6 895.9329129174936]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,2210789.4736842103,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,2210789.4736842103,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2368631.5789473685,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,2368631.5789473685,18866.45149786934,[5 29 6 965.4757568887723]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,2368631.5789473685,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,2368631.5789473685,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2526473.6842105263,3.731622020721351e-52,[1 3 28 80.38148944857117]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,2526473.6842105263,15060.191075960756,[5 29 6 1034.7782450779766]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,2526473.6842105263,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,2526473.6842105263,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2684315.789473684,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,2684315.789473684,11837.81814968998,[5 29 6 1103.692792643779]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,2684315.789473684,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,2684315.789473684,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,2842157.8947368423,2.97289660817677e-63,[1 6 29 218.4576143463312]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,2842157.8947368423,9092.245050138972,[5 29 6 1172.0608150603132]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,2842157.8947368423,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,2842157.8947368423,1.147037692322315e-34,[7 2 1 4.797651081559865]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,3000000.0,5.369615262968307e-64,[1 4 29 137.8696613673149]
<class 'key_rate_optimization.tgs_f_routine'>,628318530717.9586,4e-06,3000000.0,6815.844315740805,[5 29 7 1451.7184722521554]
<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,4e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,4e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000.0,3849585950451.549,[1 1 3 5.6568155792491315e-06]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1000.0,2809121348519.002,[1 1 7 3.343860219771928e-06]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,1000.0,1557929246.0781004,[1 1 1 5.6568155792491315e-06]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,1000.0,1039841106.2152636,[1 1 1 5.6568155792491315e-06]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,158842.1052631579,23129.191716094043,[3 11 4 67.5901687581643]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,158842.1052631579,1041.6951641220264,[1 1 29 2.198342302412189]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,158842.1052631579,823.6664575855175,[12 5 22 42.456840102345815]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,158842.1052631579,9.806437275468453e+47,[19 1 1 5.663886558673737e-06]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,316684.2105263158,6816.752430156125,[4 12 4 159.54091097659153]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,316684.2105263158,0.11236370514461107,[1 1 29 6.424074577232163]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,316684.2105263158,522.3929997250759,[17 6 26 90.5158651737019]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,316684.2105263158,6.841409330277353e+71,[23 3 1 5.749845640977748e-06]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,474526.3157894737,3452.50920796735,[4 24 6 227.52446848715616]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,474526.3157894737,1.962994529559588e-05,[1 1 29 10.695146295289097]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,474526.3157894737,389.70757754261166,[17 6 28 149.5295202342799]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,474526.3157894737,2.2785253819456527e-31,[14 4 1 7.599808555964742]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,632368.4210526316,2467.942865540412,[4 18 5 328.4444438693823]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,632368.4210526316,4.015867359117015e-09,[1 1 29 15.007370693353419]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,632368.4210526316,303.584255949023,[18 6 29 202.8109298816901]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,632368.4210526316,2.112325301681502e-21,[19 1 2 19.707081868838547]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,790210.5263157894,1685.2839915616573,[4 17 5 452.3841648262584]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,790210.5263157894,8.898930766335118e-13,[1 1 29 19.343977124054376]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,790210.5263157894,253.8226661135023,[25 7 30 238.89330728519005]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,790210.5263157894,1.1100979590186253e-27,[19 1 2 25.019567799252325]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,948052.6315789474,1214.7207686682063,[4 18 5 541.484966024641]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,948052.6315789474,2.069721841002451e-16,[1 1 29 23.69589245977948]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,948052.6315789474,216.51307071872154,[25 7 31 294.74123229371895]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,948052.6315789474,6.543051578785581e+24,[8 1 1 1.911261637839044]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1105894.7368421052,911.3712530374429,[4 25 6 611.4604756073609]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1105894.7368421052,4.97268776841485e-20,[1 1 29 28.05800499299866]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,1105894.7368421052,185.2343179063536,[25 7 32 351.25628265695]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,1105894.7368421052,3.103324341054391e-40,[19 1 2 35.6403625186326]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1263736.8421052631,716.4090673070448,[4 25 6 716.4270329292633]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1263736.8421052631,1.2229119150500218e-23,[1 1 29 32.42724672702486]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,1263736.8421052631,158.60695341444324,[25 7 32 408.2089375544248]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,1263736.8421052631,1.6458557962807796e-46,[19 1 2 40.94976183626887]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1421578.9473684211,572.9349097873743,[4 25 6 823.2186881319273]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1421578.9473684211,3.060702392448951e-27,[1 1 29 36.80166017664532]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,1421578.9473684211,135.26491592171232,[25 7 33 464.883327149909]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,1421578.9473684211,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1579421.0526315789,464.1367319480404,[4 25 6 931.4091211252132]
<class 'key_rate_optimization.tgs_f_routine'>,1068141502.2205297,1.0,1579421.0526315789,7.765912486946123e-31,[1 1 29 41.17995139583595]
<class 'key_rate_optimization.rgs_a_routine'>,1068141502.2205297,1.0,1579421.0526315789,114.9131286754106,[25 7 33 521.214524786464]
<class 'key_rate_optimization.rgs_f_routine'>,1068141502.2205297,1.0,1579421.0526315789,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1737263.1578947369,379.9988908859231,[4 26 6 1013.3011678097205]
