,rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
26,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.1,1000000.0,2.618898963578656,[17 6 27 530.0707303922942]
70,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.1,1000000.0,174.87410840991515,[25 7 31 323.37430142816817]
114,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.1,1000000.0,250.2925036042249,[25 7 31 302.1047552656626]
158,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.1,1000000.0,259.91883152530164,[25 7 31 300.1126168894729]
202,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.1,1000000.0,260.9080303038566,[25 7 31 299.91391880083455]
246,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.1,1000000.0,261.007223157188,[25 7 31 299.89380534204315]
290,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.1,1000000.0,261.01714518103944,[25 7 31 299.89217950298223]
334,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.1,1000000.0,261.01813740316305,[25 7 31 299.89110244533214]
30,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1.0,1000000.0,2.702071139890664,[17 6 27 532.3970275604355]
74,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1.0,1000000.0,175.1252034111038,[25 7 31 323.4002790675177]
118,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1.0,1000000.0,250.5547024385652,[25 7 31 302.1202731480932]
162,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1.0,1000000.0,259.44099596404345,[24 7 31 309.31344258398065]
206,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1.0,1000000.0,261.1713417950927,[25 7 31 299.92810772273947]
250,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1.0,1000000.0,261.2705446582964,[25 7 31 299.90740305480347]
294,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1.0,1000000.0,261.28046768953874,[25 7 31 299.9066097539845]
338,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1.0,1000000.0,261.2814600198523,[25 7 31 299.9061313214454]
34,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,10.0,1000000.0,2.710443201549277,[17 6 27 532.6287731438307]
78,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,10.0,1000000.0,175.15032398185863,[25 7 31 323.40369642067515]
122,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,10.0,1000000.0,249.86719578714545,[24 7 31 311.3462075743861]
166,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,10.0,1000000.0,260.2083724832637,[25 7 31 300.12787768831913]
210,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,10.0,1000000.0,260.4541260522468,[24 7 31 309.1134000021684]
254,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,10.0,1000000.0,261.29688545270966,[25 7 31 299.90979468043446]
298,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,10.0,1000000.0,261.3068085759887,[25 7 31 299.9074069461238]
342,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,10.0,1000000.0,261.30780091625456,[25 7 31 299.907110922958]
38,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,100.0,1000000.0,2.7112809550280934,[17 6 27 532.6522671578443]
82,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,100.0,1000000.0,175.1528361433055,[25 7 31 323.4033857538845]
126,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,100.0,1000000.0,250.5835541615585,[25 7 31 302.12222426307693]
170,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,100.0,1000000.0,260.2110055436991,[25 7 31 300.1284668144593]
214,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,100.0,1000000.0,261.2003156470855,[25 7 31 299.9292386094719]
258,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,100.0,1000000.0,260.55571255213977,[24 7 31 309.0945089386996]
302,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,100.0,1000000.0,261.30944275207736,[25 7 31 299.9077516439002]
346,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,100.0,1000000.0,261.3104350868888,[25 7 31 299.907689500343]
42,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1000.0,1000000.0,2.7113647357341897,[17 6 27 532.6544992694772]
86,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1000.0,1000000.0,175.1530873726512,[25 7 31 323.403187405779]
130,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1000.0,1000000.0,250.58381645726692,[25 7 31 302.12119771306925]
174,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1000.0,1000000.0,260.21126886281087,[25 7 31 300.1278341088199]
218,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1000.0,1000000.0,261.1999789090392,[25 7 32 299.684421216086]
262,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1000.0,1000000.0,261.2193638854882,[25 7 32 299.66350527337545]
306,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1000.0,1000000.0,261.3097061694112,[25 7 31 299.9080364723097]
350,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1000.0,1000000.0,261.3106985115156,[25 7 31 299.907745562726]
3,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-07,1000000.0,0.0,
47,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-07,1000000.0,0.0,
91,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-07,1000000.0,0.0,
135,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-07,1000000.0,0.0,
179,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-07,1000000.0,0.0,
223,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1e-07,1000000.0,0.0,
267,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1e-07,1000000.0,1.091173430587114e-206,[28 10 3 22.147254463790212]
311,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1e-07,1000000.0,0.0,
7,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-06,1000000.0,0.0,
51,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-06,1000000.0,0.0,
95,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-06,1000000.0,0.0,
139,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-06,1000000.0,0.0,
183,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-06,1000000.0,0.0,
227,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1e-06,1000000.0,145074.79978617126,[29 8 32 242.04831695784964]
271,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1e-06,1000000.0,292800.12446926994,[24 7 32 245.71173120898968]
315,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1e-06,1000000.0,320359.1180366393,[24 7 32 245.67557338862045]
11,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-05,1000000.0,0.0,
55,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-05,1000000.0,0.0,
99,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-05,1000000.0,0.0,
143,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-05,1000000.0,0.0,
187,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1e-05,1000000.0,32014.638285318542,[24 7 31 263.2763786320591]
231,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1e-05,1000000.0,218209.70560066876,[24 7 32 248.6446013247841]
275,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1e-05,1000000.0,374345.4451061525,[25 7 32 239.38052510242125]
319,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1e-05,1000000.0,402762.2729408146,[24 7 32 247.0450292041698]
15,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.0001,1000000.0,0.0,
59,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.0001,1000000.0,0.0,
103,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.0001,1000000.0,0.0,
147,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.0001,1000000.0,398.2925760357148,[26 7 24 428.6088358790934]
191,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.0001,1000000.0,39950.982892504886,[24 7 31 265.3388495013046]
235,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.0001,1000000.0,226129.9433444389,[23 7 32 257.930246535924]
279,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.0001,1000000.0,382139.414149924,[23 7 32 256.32191962541526]
323,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.0001,1000000.0,411632.9461075408,[24 7 32 247.1787728283869]
19,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.001,1000000.0,0.0,
63,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.001,1000000.0,0.0,
107,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.001,1000000.0,0.0,[11 3 1 2.0079171335475663]
151,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.001,1000000.0,691.690873631311,[18 6 25 457.03581312472807]
195,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.001,1000000.0,40801.544709939146,[24 7 31 265.5398582702416]
239,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.001,1000000.0,227881.59862611617,[24 7 32 248.9217638470323]
283,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.001,1000000.0,384492.8974425631,[24 7 32 247.34876636990296]
327,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.001,1000000.0,411968.92876521306,[25 7 32 239.33690774863467]
23,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.01,1000000.0,0.0,
67,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.01,1000000.0,7.573061237971081e-44,[11 1 2 33.893124692957755]
111,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.01,1000000.0,6.524478484425021e-33,[14 5 7 238.48077124264677]
155,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.01,1000000.0,743.3254647231828,[18 6 25 460.6221742129365]
199,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.01,1000000.0,40887.25025356656,[24 7 31 265.5603837371938]
243,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.01,1000000.0,227969.61056080475,[24 7 33 248.62876984455934]
287,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.01,1000000.0,384582.38198069605,[24 7 32 247.3501993930796]
331,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.01,1000000.0,412616.813845689,[24 7 32 247.19421968012423]
27,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.1,1000000.0,0.0,
71,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.1,1000000.0,8.820482990627673e-44,[11 1 2 33.98362147186886]
115,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.1,1000000.0,8.70155340008987e-33,[15 5 7 237.8377065182501]
159,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.1,1000000.0,746.8986506529019,[19 6 25 445.66453974927674]
203,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,0.1,1000000.0,40895.82740010769,[24 7 31 265.562265171094]
247,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,0.1,1000000.0,227133.22867425563,[23 7 32 257.9680023109752]
291,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,0.1,1000000.0,384591.33121933707,[24 7 32 247.35085178699762]
335,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,0.1,1000000.0,411066.503307256,[23 7 32 256.18231062439287]
31,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1.0,1000000.0,0.0,
75,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1.0,1000000.0,0.0,
119,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1.0,1000000.0,7.946288369747649e-33,[14 5 7 239.32613514798237]
163,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1.0,1000000.0,747.432052704233,[19 6 25 445.6967427584279]
207,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1.0,1000000.0,40896.68518105279,[24 7 31 265.56297405599895]
251,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1.0,1000000.0,227650.81051430735,[25 7 32 241.0220814178751]
295,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1.0,1000000.0,383147.16918445175,[23 7 32 256.3440559490448]
339,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1.0,1000000.0,412066.87180884654,[25 7 32 239.33810762422186]
35,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,10.0,1000000.0,0.0,
79,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,10.0,1000000.0,8.9750634132987e-44,[11 1 2 33.993416911529316]
123,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,10.0,1000000.0,1.4698899070504826e-31,[9 4 9 166.20480659672]
167,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,10.0,1000000.0,692.3619315794559,[26 7 25 471.5798795985341]
211,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,10.0,1000000.0,40896.77095986587,[24 7 31 265.56271167577137]
255,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,10.0,1000000.0,227980.7328937136,[24 7 32 248.92478370380798]
299,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,10.0,1000000.0,384061.919360923,[25 7 32 239.49073167071268]
343,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,10.0,1000000.0,411067.5022779845,[23 7 32 256.18225738261896]
39,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,100.0,1000000.0,0.0,
83,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,100.0,1000000.0,0.0,[14 1 1 0.4170776312410042]
127,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,100.0,1000000.0,8.946164504285462e-33,[15 5 7 237.9317018017879]
171,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,100.0,1000000.0,692.3650167680335,[26 7 25 471.5800787300666]
215,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,100.0,1000000.0,40896.7795383784,[24 7 31 265.56229539447924]
259,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,100.0,1000000.0,227980.74181576635,[24 7 32 248.92443427622177]
303,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,100.0,1000000.0,384592.3246090458,[24 7 32 247.35024038734207]
347,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,100.0,1000000.0,412626.7592403739,[24 7 32 247.19374039314036]
43,<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1000.0,1000000.0,0.0,
87,<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1000.0,1000000.0,0.0,
131,<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1000.0,1000000.0,4.481021549373229e-29,[10 4 8 183.71948536984934]
175,<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1000.0,1000000.0,747.491268953074,[19 6 25 445.7005962836621]
219,<class 'key_rate_optimization.rgs_f_routine'>,628318530717.9586,1000.0,1000000.0,40896.78039630292,[24 7 31 265.5628347408961]
263,<class 'key_rate_optimization.rgs_f_routine'>,6283185307179.586,1000.0,1000000.0,227134.23439349496,[23 7 32 257.96803324680883]
307,<class 'key_rate_optimization.rgs_f_routine'>,62831853071795.86,1000.0,1000000.0,384592.3255046072,[24 7 32 247.3499730649093]
351,<class 'key_rate_optimization.rgs_f_routine'>,628318530717958.6,1000.0,1000000.0,412066.9697534757,[25 7 32 239.3384716395152]
0,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-07,1000000.0,0.0,
44,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-07,1000000.0,0.0,
88,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-07,1000000.0,0.0,
132,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-07,1000000.0,0.0,
176,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-07,1000000.0,0.0,
220,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-07,1000000.0,0.0,
264,<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-07,1000000.0,0.0,
308,<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-07,1000000.0,0.0,
4,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-06,1000000.0,0.0,
48,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-06,1000000.0,0.0,
92,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-06,1000000.0,0.0,
136,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-06,1000000.0,0.0,
180,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-06,1000000.0,7.898314587332442e-19,[1 1 27 15.454017337439348]
224,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-06,1000000.0,0.0,
268,<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-06,1000000.0,0.0,
312,<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-06,1000000.0,2.588468184755036e-29,[1 2 28 9.106301593056283]
8,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-05,1000000.0,0.0,
52,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-05,1000000.0,7.014121746217068e-18,[1 4 29 33.83084885307217]
96,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-05,1000000.0,6.561945527608079e-17,[1 2 29 27.58963858121128]
140,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-05,1000000.0,1.0161246067262463e-16,[1 1 29 25.15783875756154]
184,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-05,1000000.0,1.0616604245430935e-16,[1 1 29 25.15669182959878]
228,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-05,1000000.0,1.0664133307767255e-16,[1 1 29 25.156577165213218]
272,<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-05,1000000.0,1.0668907019862614e-16,[1 1 29 25.15656656876097]
316,<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-05,1000000.0,1.0669384600042455e-16,[1 1 29 25.156565434556512]
12,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.0001,1000000.0,7.402762249575698e-19,[1 2 29 37.66774869012343]
56,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.0001,1000000.0,2.0621705077433706e-17,[1 1 29 25.376815306322023]
100,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.0001,1000000.0,630.6515218475715,[4 28 6 480.9138535408052]
144,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.0001,1000000.0,729.830327343298,[4 28 6 472.5806630798665]
188,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.0001,1000000.0,740.3085467323226,[4 28 6 471.7637135323169]
232,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,0.0001,1000000.0,741.3622617190913,[4 28 6 471.6815003803846]
276,<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,0.0001,1000000.0,740.5137872301256,[4 27 6 482.59531615949584]
320,<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,0.0001,1000000.0,741.4782361201874,[4 28 6 471.6727814509348]
16,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.001,1000000.0,1.9816032973818574e-18,[1 1 29 27.432581430112712]
60,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.001,1000000.0,697.9394506889469,[4 27 6 561.0540708638824]
104,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.001,1000000.0,1462.7795274059563,[4 23 6 528.9073759661325]
148,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.001,1000000.0,1650.2880113839892,[4 17 5 550.3577142674003]
192,<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.001,1000000.0,1666.845663887883,[4 17 5 549.5463600849108]
236,<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,0.001,1000000.0,1660.8947616482155,[4 18 5 527.0072158242182]
280,<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,0.001,1000000.0,1668.679589089436,[4 17 5 549.4570121779742]
324,<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,0.001,1000000.0,1668.696272656788,[4 17 5 549.4561106071885]
20,<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.01,1000000.0,2.1137032957077715e-18,[1 1 29 27.448621462652746]
64,<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.01,1000000.0,794.8974344745441,[4 26 6 572.1673405585168]
108,<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.01,1000000.0,1680.5627745490967,[4 17 5 556.606546897703]
152,<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.01,1000000.0,1837.065772140844,[4 16 5 576.0104584133636]
