,rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
2,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-07,1000000.0,0.0,
46,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-07,1000000.0,0.0,
90,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-07,1000000.0,0.0,
134,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-07,1000000.0,0.0,
178,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-07,1000000.0,0.0,
222,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1e-07,1000000.0,0.0,
266,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1e-07,1000000.0,0.0,
310,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1e-07,1000000.0,0.0,
6,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-06,1000000.0,0.0,
50,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-06,1000000.0,0.0,
94,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-06,1000000.0,0.0,
138,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-06,1000000.0,0.0,
182,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-06,1000000.0,0.0,
226,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1e-06,1000000.0,0.0,
270,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1e-06,1000000.0,0.0,
314,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1e-06,1000000.0,0.0,
10,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-05,1000000.0,0.0,
54,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-05,1000000.0,0.0,
98,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-05,1000000.0,0.0,
142,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-05,1000000.0,0.0,
186,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,1e-05,1000000.0,5.718172915395161e-44,[29 1 2 5.267635708571639]
230,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,1e-05,1000000.0,0.0,
274,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,1e-05,1000000.0,0.0,
318,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,1e-05,1000000.0,0.0,
14,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.0001,1000000.0,2.3499569132113505e-186,[29 5 1 279.17851496103043]
58,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.0001,1000000.0,0.0,
102,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.0001,1000000.0,1.0590059653593087e-27,[28 1 2 27.886442130655244]
146,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.0001,1000000.0,64.60217536541855,[29 8 31 298.75163435471006]
190,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.0001,1000000.0,65.3631745968031,[29 8 31 298.6421550978263]
234,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.0001,1000000.0,65.43956692893674,[29 8 31 298.63144121306703]
278,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.0001,1000000.0,65.44720909197149,[29 8 31 298.6300023199804]
322,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.0001,1000000.0,65.44797333941817,[29 8 31 298.6302593350262]
18,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.001,1000000.0,2.4571334290539148e-27,[29 1 2 21.639408389842714]
62,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.001,1000000.0,148.40028548653737,[25 7 31 320.39057304212366]
106,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.001,1000000.0,222.38129461098092,[25 7 31 300.41881532178576]
150,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.001,1000000.0,231.87442777679536,[25 7 31 298.5241857173302]
194,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.001,1000000.0,232.85040711480383,[25 7 31 298.33483105686685]
238,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.001,1000000.0,232.9482790170364,[25 7 31 298.3165670072399]
282,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.001,1000000.0,232.9580689504606,[25 7 31 298.31504349370306]
326,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.001,1000000.0,232.9590479736696,[25 7 31 298.31483882216395]
22,<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.01,1000000.0,1.8652575642494944,[17 6 26 508.7099130681887]
66,<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.01,1000000.0,172.37414826700066,[25 7 31 323.1086601279085]
110,<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.01,1000000.0,247.6793414760868,[25 7 31 301.9537006583472]
154,<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.01,1000000.0,257.2953292741387,[25 7 31 299.9696793643627]
198,<class 'key_rate_optimization.rgs_a_routine'>,628318530717.9586,0.01,1000000.0,258.2835033463599,[25 7 31 299.7720089547196]
242,<class 'key_rate_optimization.rgs_a_routine'>,6283185307179.586,0.01,1000000.0,258.3825938229948,[25 7 31 299.7529488530373]
286,<class 'key_rate_optimization.rgs_a_routine'>,62831853071795.86,0.01,1000000.0,258.39250558580346,[25 7 31 299.74956762808677]
330,<class 'key_rate_optimization.rgs_a_routine'>,628318530717958.6,0.01,1000000.0,258.39349681727407,[25 7 31 299.7507859353113]
