rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-07,1000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-07,1000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-07,1000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-07,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-06,1000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-06,1000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-06,1000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-06,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1e-05,1000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1e-05,1000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1e-05,1000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1e-05,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.0001,1000000.0,7.402762249575698e-19,[1 2 29 37.66774869012343]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.0001,1000000.0,4.3276451370298577e-29,[1 1 27 7.54964132882141]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.0001,1000000.0,2.3499569132113505e-186,[29 5 1 279.17851496103043]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.0001,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.001,1000000.0,1.9816032973818574e-18,[1 1 29 27.432581430112712]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.001,1000000.0,3.5912607904435507e-20,[1 1 28 29.910625235087082]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.001,1000000.0,2.4571334290539148e-27,[29 1 2 21.639408389842714]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.001,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.01,1000000.0,2.1137032957077715e-18,[1 1 29 27.448621462652746]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.01,1000000.0,6.161780760721868e-20,[1 1 29 25.636629263158927]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.01,1000000.0,1.8652575642494942,[17 6 26 508.7099130681887]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.01,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,0.1,1000000.0,2.1289391360575317e-18,[1 1 29 27.450404692267437]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,0.1,1000000.0,6.361091714894689e-20,[1 1 29 25.638989848172567]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,0.1,1000000.0,2.6188989635786557,[17 6 27 530.0707303922942]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,0.1,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1.0,1000000.0,2.1305022314370976e-18,[1 1 29 27.450587132983447]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,1.0,1000000.0,6.382837529239258e-20,[1 1 29 25.63924238353486]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,1.0,1000000.0,2.702071139890664,[17 6 27 532.3970275604355]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,1.0,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,10.0,1000000.0,4.997962081717042e-16,[2 10 4 525.8630750096954]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,10.0,1000000.0,6.385039590775042e-20,[1 1 29 25.639267904911158]
<class 'key_rate_optimization.rgs_a_routine'>,62831853.071795866,10.0,1000000.0,2.710443201549277,[17 6 27 532.6287731438307]
<class 'key_rate_optimization.rgs_f_routine'>,62831853.071795866,10.0,1000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,100.0,1000000.0,2.130674669042394e-18,[1 1 29 27.450607255853523]
<class 'key_rate_optimization.tgs_f_routine'>,62831853.071795866,100.0,1000000.0,6.385260089149027e-20,[1 1 29 25.63927046689015]
