rout,GAMMA,T_SPIN_COHERENCE,L,best_solutions_fitness,best_solution
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-05,3000000.0,9.664866966425244e-66,[1 10 29 176.36529557741943]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.0001,3000000.0,8.212679209428177e-63,[1 1 29 81.55588049282173]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.0001,3000000.0,7.081999594640113e-69,[1 3 26 198.1856918148625]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.001,3000000.0,9.983161081020057e-63,[1 1 29 81.62797267703299]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.001,3000000.0,1.8675984203997344e-63,[1 1 29 80.57064048909426]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.001,3000000.0,4.5840086594246105e-88,[29 1 2 65.17068868041954]
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.001,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.01,3000000.0,12.088156044287814,[4 21 5 1814.0499059290814]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.01,3000000.0,2.0181278389750164e-63,[1 1 29 80.59179922452896]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.01,3000000.0,2.506641342182592,[26 7 28 896.5358929825245]
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.01,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.1,3000000.0,1.0220042863332033e-62,[1 1 29 81.63622951598121]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,0.1,3000000.0,2.0348254006817508e-63,[1 1 29 80.5940202155423]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,0.1,3000000.0,3.864977028108718,[26 7 30 905.808651244649]
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,0.1,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1.0,3000000.0,16.60374387886569,[4 20 5 1901.750876995773]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1.0,3000000.0,2.0365199429515203e-63,[1 1 29 80.5942386239103]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1.0,3000000.0,7.233094772543197,[29 8 34 1031.116484556033]
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1.0,3000000.0,1.1315896641828646e-138,[12 1 2 105.00632202548238]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,10.0,3000000.0,57.239323126456384,[5 29 6 1871.14128617148]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,10.0,3000000.0,2.0366896605948256e-63,[1 1 29 80.59425909281423]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,10.0,3000000.0,7.2465562549404465,[29 8 34 1031.2544725702094]
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,10.0,3000000.0,1.1368565648927143e-138,[12 1 2 105.00920308639522]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,100.0,3000000.0,57.243566361461035,[5 29 6 1871.143987736895]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,100.0,3000000.0,2.0367066350100524e-63,[1 1 29 80.59426688357452]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,100.0,3000000.0,7.247902870655541,[29 8 34 1031.2687539507651]
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,100.0,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1000.0,3000000.0,1.0222523901113966e-62,[1 1 29 81.63631463636943]
<class 'key_rate_optimization.tgs_f_routine'>,628318530.7179586,1000.0,3000000.0,2.036708332478271e-63,[1 1 29 80.59426345430057]
<class 'key_rate_optimization.rgs_a_routine'>,628318530.7179586,1000.0,3000000.0,7.248037534668796,[29 8 34 1031.2633336431352]
<class 'key_rate_optimization.rgs_f_routine'>,628318530.7179586,1000.0,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-05,3000000.0,1.9456148191173854e-62,[1 2 29 87.81473908961317]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1e-05,3000000.0,1.1242213337005826e-66,[1 4 29 221.35061946735829]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.0001,3000000.0,3.774812269098918e-62,[1 1 29 81.00484401023998]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.0001,3000000.0,3.655768829610994e-62,[1 1 29 80.74571080198734]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.0001,3000000.0,5.154536401805729e-160,[28 2 2 12.028410155274694]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.001,3000000.0,119.40576652500002,[5 29 6 1555.7083185204194]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.001,3000000.0,3.94818341766196e-62,[1 1 29 80.77137630275651]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.001,3000000.0,4.7862010477867765,[29 8 34 898.5147401829663]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.001,3000000.0,4.208892203111303e-90,[29 1 2 69.06454408729833]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.01,3000000.0,166.80191385041462,[5 28 6 1595.0873940113706]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.01,3000000.0,3.980616479867016e-62,[1 1 29 80.77406803990537]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.01,3000000.0,20.547929856891244,[29 8 36 981.1378650545233]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.01,3000000.0,5.375325949279105e-90,[29 1 2 69.06371707740784]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.1,3000000.0,171.870408902133,[5 28 6 1595.5372819393745]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,0.1,3000000.0,3.9839079035447925e-62,[1 1 29 80.77433960657791]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,0.1,3000000.0,22.471617883723756,[29 8 36 987.7283674297906]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,0.1,3000000.0,5.5088239909889e-90,[29 1 2 69.0636360151254]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1.0,3000000.0,172.37963802542,[5 28 6 1595.5832582873466]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1.0,3000000.0,3.98423755731835e-62,[1 1 29 80.77436669696485]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1.0,3000000.0,22.66685639337947,[29 8 36 988.3705644773164]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1.0,3000000.0,5.52241725832282e-90,[29 1 2 69.06362567544423]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,10.0,3000000.0,172.43058489694363,[5 28 6 1595.58696062305]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,10.0,3000000.0,3.984270527843171e-62,[1 1 29 80.77436856198852]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,10.0,3000000.0,22.686408675251293,[29 8 36 988.4434675246152]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,10.0,3000000.0,5.523779153191788e-90,[29 1 2 69.06362874463709]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,100.0,3000000.0,96.65266276126845,[5 19 5 1794.475054887005]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,100.0,3000000.0,3.984273824946928e-62,[1 1 29 80.77436547382722]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,100.0,3000000.0,22.688364189123217,[29 8 36 988.4461006693145]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,100.0,3000000.0,5.523915368506309e-90,[29 1 2 69.06362476918353]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1000.0,3000000.0,172.43618931891118,[5 28 6 1595.5876506334628]
<class 'key_rate_optimization.tgs_f_routine'>,6283185307.179586,1000.0,3000000.0,3.9842741546575485e-62,[1 1 29 80.77436977771518]
<class 'key_rate_optimization.rgs_a_routine'>,6283185307.179586,1000.0,3000000.0,14.864399316978567,[26 7 32 894.8129640400015]
<class 'key_rate_optimization.rgs_f_routine'>,6283185307.179586,1000.0,3000000.0,5.523928990296686e-90,[29 1 2 69.06362688228072]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-07,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1e-06,3000000.0,2.2618976617738285e-63,[1 3 29 152.80584428787992]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-06,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-05,3000000.0,3.6524396495729598e-62,[1 1 29 80.80792473654127]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,1e-05,3000000.0,3.862967522679827e-61,[1 1 29 80.76707099603895]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,1e-05,3000000.0,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.0001,3000000.0,5.309210478465157e-62,[1 1 29 80.9499402576299]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.0001,3000000.0,1025.5478230242416,[5 29 6 1497.1069241297603]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.0001,3000000.0,0.0,
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.0001,3000000.0,3.3157728949517216e-74,[29 6 6 486.660987287604]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.001,3000000.0,136.691214586114,[5 29 6 1530.0534679645882]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.001,3000000.0,1710.6921797765656,[5 28 6 1538.1866969088069]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.001,3000000.0,0.25247899644241045,[28 7 22 788.5623150247508]
<class 'key_rate_optimization.rgs_f_routine'>,62831853071.79586,0.001,3000000.0,2.7497238851540358e-86,[29 1 2 64.16279371733694]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.01,3000000.0,184.76474086448832,[5 27 6 1605.2046827441034]
<class 'key_rate_optimization.tgs_f_routine'>,62831853071.79586,0.01,3000000.0,1788.8180990946842,[5 27 6 1574.8461129157963]
<class 'key_rate_optimization.rgs_a_routine'>,62831853071.79586,0.01,3000000.0,13.742255350039105,[26 7 32 883.4176711930235]
