rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.96,1e-05,5e-05,3.2620353358997164e-10,[1 1 29 1.1847112034529848]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.96,3.1622776601683795e-05,5e-05,2.814000679203543e-17,[1 1 29 23.691286081705723]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.96,0.0001,5e-05,1.5913085207380117e-18,[1 1 29 49.843185474078005]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.97,1e-06,5e-05,2.6910738408194688e-17,[1 1 28 30.145775857730086]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.97,3.162277660168379e-06,5e-05,2.5079763054233452e-20,[1 1 29 93.26265481020943]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.97,1e-05,5e-05,1.7306131377689764e-17,[1 1 27 33.93055209528521]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.97,3.1622776601683795e-05,5e-05,5.7057552005304035e-21,[1 4 29 103.47317374227269]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.97,0.0001,5e-05,1.90445932463849e-05,[1 1 25 1.153903225162361]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.98,1e-06,5e-05,1.6580776040854675e-17,[1 3 28 28.98363018099179]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.98,3.162277660168379e-06,5e-05,1.1699403478195483e-17,[1 2 29 38.47453436696408]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.98,1e-05,5e-05,2.141630729694112e-18,[1 1 26 57.28274562399837]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.98,3.1622776601683795e-05,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.98,0.0001,5e-05,1.2040448985661424e-20,[1 2 29 107.95532730812417]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.99,1e-06,5e-05,1.180635921937915e-19,[1 1 27 12.917215771907742]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.99,3.162277660168379e-06,5e-05,2.2014527110356066e-17,[1 1 29 39.45899231913531]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.99,1e-05,5e-05,6.853741701380576e-18,[1 1 29 51.55160888808419]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.99,3.1622776601683795e-05,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,0.99,0.0001,5e-05,2.7592632497071048e-05,[1 1 24 1.0973067922124802]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.95,1e-06,5e-05,178.97925039588245,[5 23 5 774.4197915627598]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.95,3.162277660168379e-06,5e-05,248.25035773282704,[5 29 6 850.55364982489]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.95,1e-05,5e-05,211.67232116678608,[4 29 6 815.8428961267854]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.95,3.1622776601683795e-05,5e-05,110.08720171522555,[4 29 6 805.4860059941501]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.95,0.0001,5e-05,2.127537136482119e-06,[1 1 24 1.1912186294684486]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.96,1e-06,5e-05,389.8523101843923,[4 29 6 733.2080913973832]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.96,3.162277660168379e-06,5e-05,375.7297585038858,[4 29 6 733.1952407512953]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.96,1e-05,5e-05,332.64774549681846,[4 29 6 733.1320526514357]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.96,3.1622776601683795e-05,5e-05,209.49897682068655,[4 29 6 732.7635640488879]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.96,0.0001,5e-05,1.0702947005000725e-17,[1 1 29 24.41511843443709]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.97,1e-06,5e-05,537.0881343916336,[4 29 6 658.5471384123468]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.97,3.162277660168379e-06,5e-05,521.0248921522257,[4 29 6 658.9269395062479]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.97,1e-05,5e-05,471.90938857691987,[4 29 6 660.1253457484179]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.97,3.1622776601683795e-05,5e-05,330.54483661418783,[4 29 6 664.0308417384929]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.97,0.0001,5e-05,1.4218396055293575e-17,[1 1 29 24.589026713497187]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.98,1e-06,5e-05,700.1334123791279,[4 27 6 625.7015946401228]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.98,3.162277660168379e-06,5e-05,681.505057649513,[4 27 6 626.3453417677297]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.98,1e-05,5e-05,626.2814455348092,[4 28 6 611.7962706770189]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.98,3.1622776601683795e-05,5e-05,467.98119710506745,[4 29 6 602.8313510651942]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.98,0.0001,5e-05,1.8842588062854873e-17,[1 1 29 24.77991366297469]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.99,1e-06,5e-05,880.0972660499026,[4 26 6 581.3396052800582]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.99,3.162277660168379e-06,5e-05,859.4639340615254,[4 26 6 582.112663193776]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.99,1e-05,5e-05,796.9066162016504,[4 27 6 569.0346927184706]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.99,3.1622776601683795e-05,5e-05,619.7712216716614,[4 28 6 562.1188523988139]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,0.99,0.0001,5e-05,183.79603583746788,[4 29 6 571.4443446859195]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,0.95,1e-06,5e-05,542.1564575848046,[5 29 6 727.9532656606541]
