rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000125,8.258845369828643e-17,[1 1 29 27.235583525041914]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00013000000000000002,2.3589344407511034e-17,[1 1 29 43.37726432531179]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000135,1.7125058549423325e-21,[1 3 28 162.53771785214263]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00014,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000145,7.826181861879108e-17,[1 1 29 28.481640410672394]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00015000000000000001,3.0425662656149914e-17,[1 1 29 39.97426926553917]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000155,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00015999999999999999,2.2624086395483536e-17,[1 1 27 42.96357477562945]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000165,2.295688671054686e-18,[1 1 29 14.695721808061338]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00017,6.844641661141542e-22,[1 5 29 171.83929209454536]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000175,5.615837364747076e-17,[1 2 28 31.742432149181646]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00017999999999999998,1.2697081565209018e-20,[1 2 28 135.23179748101603]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000185,1.00678720690684e-17,[1 1 29 52.97341920616764]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.00019,7.155974718773648e-17,[1 1 29 29.327823161893736]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,4e-06,1000000.0,1,0,0.000195,6.166531724486391e-19,[1 1 29 13.691687723595647]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,5e-05,1098.0831006346095,[4 18 5 578.0455537754686]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,6e-05,992.1688596334002,[4 18 5 578.9636971100828]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,7e-05,930.1293314350003,[4 26 6 532.1586280180828]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,7.999999999999999e-05,857.7695634156632,[4 25 6 549.1985741297761]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,8.999999999999999e-05,792.6634184001285,[4 27 6 523.0898368227913]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.0001,729.4125902850697,[4 27 6 525.0711450386933]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000105,698.6394372756528,[4 27 6 526.0687755838226]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00011,668.471590075899,[4 28 6 514.9519564583346]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000115,639.5614337024294,[4 28 6 515.8754823482511]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00012,611.1264904147314,[4 28 6 516.8044878885008]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000125,583.1492076463406,[4 28 6 517.738689898979]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00013000000000000002,555.6133970493579,[4 28 6 518.6799010248494]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000135,528.7225769937849,[4 29 6 508.48276088841504]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00014,502.7327437468425,[4 29 6 509.3534755842041]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000145,477.127693847739,[4 29 6 510.23076360269494]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00015000000000000001,451.8957769197954,[4 29 6 511.11505895778396]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000155,427.0260951392768,[4 29 6 512.0068473713884]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00015999999999999999,402.50843180608643,[4 29 6 512.9064525340931]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000165,378.33318878178284,[4 29 6 513.8143823922208]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00017,354.4913315098619,[4 29 6 514.7307552478782]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.000175,330.97434046891414,[4 29 6 515.6566933169659]
<class 'key_rate_optimization.tgs_a_routine'>,1068141502.2205297,1.0,1000000.0,1,0,0.00017999999999999998,307.7741681556916,[4 29 6 516.5922050609324]
