rout,GAMMA,T_SPIN_COHERENCE,L,eta_d,p_dc,ep_depol,best_solutions_fitness,best_solution
<class 'key_rate_optimization.tgs_a_routine'>,62831853.071795866,1000.0,1000000.0,1,0,5e-05,1.3081692068851744e-18,[1 1 22 34.599793793962505]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1e-05,1000000.0,1,0,5e-05,5.7303148273393904e-18,[1 2 25 37.05526659198754]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.0001,1000000.0,1,0,5e-05,171.79737276170601,[4 29 6 519.7152529869505]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.001,1000000.0,1,0,5e-05,759.6656135777394,[4 27 6 545.0481921779802]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.01,1000000.0,1,0,5e-05,847.6382837908438,[4 18 5 606.7119976524577]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,0.1,1000000.0,1,0,5e-05,862.2944009938589,[4 18 5 607.110552848808]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1.0,1000000.0,1,0,5e-05,863.7700883594409,[4 18 5 607.1499746358314]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,10.0,1000000.0,1,0,5e-05,863.9177591501667,[4 18 5 607.15449046289]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,100.0,1000000.0,1,0,5e-05,863.9325272476013,[4 18 5 607.1551786439339]
<class 'key_rate_optimization.tgs_a_routine'>,628318530.7179586,1000.0,1000000.0,1,0,5e-05,863.9340040692493,[4 18 5 607.1545468939374]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1e-05,1000000.0,1,0,5e-05,4.1847091153613016e-17,[1 2 23 32.298879587540064]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.0001,1000000.0,1,0,5e-05,790.7527356888269,[4 28 6 456.1377655234769]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.001,1000000.0,1,0,5e-05,1652.184110756954,[4 17 5 543.5312632013548]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.01,1000000.0,1,0,5e-05,1812.4861430957699,[4 16 5 571.1117521357643]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,0.1,1000000.0,1,0,5e-05,1829.0671279264623,[4 17 5 544.4464194897716]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1.0,1000000.0,1,0,5e-05,1831.8291399116076,[4 16 5 571.2056566157029]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,10.0,1000000.0,1,0,5e-05,1832.005728846293,[4 16 5 571.2067296947473]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,100.0,1000000.0,1,0,5e-05,1832.0233884806237,[4 16 5 571.2069319252635]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307.179586,1000.0,1000000.0,1,0,5e-05,1832.0251544455894,[4 16 5 571.2063611442636]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1e-05,1000000.0,1,0,5e-05,6.188549088432507e-17,[1 1 23 32.242095419804386]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.0001,1000000.0,1,0,5e-05,894.7718768615721,[4 27 6 459.06557765284856]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.001,1000000.0,1,0,5e-05,1681.5483479890017,[4 22 6 524.1837753908195]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.01,1000000.0,1,0,5e-05,1983.0826187820926,[4 16 5 562.5928049452451]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,0.1,1000000.0,1,0,5e-05,2000.7567583505734,[4 16 5 562.6608497397594]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1.0,1000000.0,1,0,5e-05,2002.5310707951405,[4 16 5 562.6675720097414]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,10.0,1000000.0,1,0,5e-05,1994.2435438701045,[4 17 5 536.5985220713742]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,100.0,1000000.0,1,0,5e-05,2002.7263223427665,[4 16 5 562.6683760440454]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071.79586,1000.0,1000000.0,1,0,5e-05,2002.7280974298674,[4 16 5 562.6685364215972]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1e-05,1000000.0,1,0,5e-05,6.612168787536792e-17,[1 1 22 30.805078850793706]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.0001,1000000.0,1,0,5e-05,905.8083774076945,[4 27 6 458.3851773296224]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.001,1000000.0,1,0,5e-05,1831.5485433498266,[4 17 5 535.0841705797502]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.01,1000000.0,1,0,5e-05,2001.342691746554,[4 16 5 561.752636932596]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,0.1,1000000.0,1,0,5e-05,2019.0260751078831,[4 16 5 561.819257017587]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1.0,1000000.0,1,0,5e-05,2011.5128676132176,[4 17 5 535.8238386065703]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,10.0,1000000.0,1,0,5e-05,2020.9788537812765,[4 16 5 561.8266254752693]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,100.0,1000000.0,1,0,5e-05,2020.9966132798984,[4 16 5 561.8266604098234]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717.9586,1000.0,1000000.0,1,0,5e-05,2020.9983892359433,[4 16 5 561.826849965742]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1e-05,1000000.0,1,0,5e-05,6.642816565789135e-17,[1 1 22 30.804776577486095]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,0.0001,1000000.0,1,0,5e-05,906.9183702078614,[4 27 6 458.3170402052681]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,0.001,1000000.0,1,0,5e-05,1833.2916515344418,[4 17 5 535.0081915635367]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,0.01,1000000.0,1,0,5e-05,2003.1815562973334,[4 16 5 561.668750939094]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,0.1,1000000.0,1,0,5e-05,2020.8658602334485,[4 16 5 561.7353203658314]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1.0,1000000.0,1,0,5e-05,2022.6411382239082,[4 16 5 561.741975387778]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,10.0,1000000.0,1,0,5e-05,2022.8187350356689,[4 16 5 561.7427271881922]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,100.0,1000000.0,1,0,5e-05,2022.8364954090862,[4 16 5 561.7429897243686]
<class 'key_rate_optimization.tgs_a_routine'>,6283185307179.586,1000.0,1000000.0,1,0,5e-05,2022.8382714524928,[4 16 5 561.7429196915944]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1e-05,1000000.0,1,0,5e-05,6.645894871382565e-17,[1 1 22 30.804745526787308]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,0.0001,1000000.0,1,0,5e-05,907.029433252682,[4 27 6 458.31032107344237]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,0.001,1000000.0,1,0,5e-05,1833.4660814822048,[4 17 5 535.0005430728967]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,0.01,1000000.0,1,0,5e-05,1995.0168082233595,[4 17 5 535.6652435915606]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,0.1,1000000.0,1,0,5e-05,2021.0499681970553,[4 16 5 561.726946346373]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1.0,1000000.0,1,0,5e-05,2022.8252549263186,[4 16 5 561.7335693866947]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,10.0,1000000.0,1,0,5e-05,2013.6122368865003,[4 17 5 535.7391044268168]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,100.0,1000000.0,1,0,5e-05,2023.0206130617219,[4 16 5 561.7341686529408]
<class 'key_rate_optimization.tgs_a_routine'>,62831853071795.86,1000.0,1000000.0,1,0,5e-05,2023.0223891192022,[4 16 5 561.7343993553136]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1e-05,1000000.0,1,0,5e-05,6.646202668862084e-17,[1 1 22 30.804743133006756]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,0.0001,1000000.0,1,0,5e-05,907.0405401958067,[4 27 6 458.3097738489846]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,0.001,1000000.0,1,0,5e-05,1832.9091938354707,[4 16 5 560.9953786023513]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,0.01,1000000.0,1,0,5e-05,2003.383975134602,[4 16 5 561.659736966112]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,0.1,1000000.0,1,0,5e-05,2021.068380288314,[4 16 5 561.7257834713683]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1.0,1000000.0,1,0,5e-05,2022.8436678895082,[4 16 5 561.7326365588046]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,10.0,1000000.0,1,0,5e-05,2023.0212656599085,[4 16 5 561.7333629878119]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,100.0,1000000.0,1,0,5e-05,2023.0390261253083,[4 16 5 561.733377604564]
<class 'key_rate_optimization.tgs_a_routine'>,628318530717958.6,1000.0,1000000.0,1,0,5e-05,2023.040802184376,[4 16 5 561.7335759927748]
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,1e-07,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,1e-06,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,1e-05,1000000.0,1,0,5e-05,0.0,
<class 'key_rate_optimization.tgs_f_routine'>,62831.853071795864,0.0001,1000000.0,1,0,5e-05,0.0,
